ACER,,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,28Kg. - 1080p. Camera with IR Function to Support Windows Hello",,
"ASUS ZENBOOK A14 (UX3407QA-X1P512) 14"" 2K OLED LAPTOP ZABRISKIE BEIGE",USD 1.250,STK
"Processor: 3.4 gigahertz Snapdragon X Plus X1P 42 100 (8-core), Memory: 16GB LPDDR5X 8533 megahertz RAM, Storage: 512GB SSD, Video: Integrated Snapdragon Qualcomm Adreno, Display: 14"" Full HD+ (1920 x 1200) OLED Refresh Rate 60Hz, Wi-Fi 6E, Bluetooth",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,28Kg. - 1080p. Camera with IR Function to Support Windows Hello",,
"ASUS Vivobook (TP3407SA-IS74T) 14"" 2K OLED FLIP TOUCHSCREEN LAPTOP 2-IN-1 GRAY",USD 1.350,STK
"Processor: Intel® Core™ Ultra 7 Processor 256V 16GB 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 cores, 8 Threads), Memory: 16GB LPDDR5X RAM, Storage: 1TB PCIE G4 Solid State Drive, Video Card: Intel® Arc™ Graphics, Display: 14"" OLED WUXGA (1920Xx1200) Touch, 16:10, 60Hz refresh rate, Bend +300 nits, Wi-Fi 7(802.11be) (Tri-band)2*2 + Bluetooth® 5.4 Wireless Card",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,57Kg. - FHD camera with IR function to support Windows Hello w/ privacy shutter",,
"ASUS ZENBOOK S 14 (UX5406SA-S14.U732G1T) 14"" 3K OLED TOUCHSCREEN LAPTOP ZUMAIA GRAY",USD 1.950,STK
"Processor: 1.6 gigahertz Intel Core Ultra 7 Series 258V (8-core), Memory: 32GB LPDDR5X 8533 megahertz RAM, Storage: 1TB M.2 NVMe™ PCIe® 4.0 SSD, Video Card: Intel® Arc™ Graphics, Display: 14"" 3K (2880 x 1800) Oled Touchscreen Refresh Rate: 120Hz, Wi-Fi 7, Bluetooth",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,28Kg. - 1080p. Camera with IR Function to Support Windows Hello",,
"ASUS ZENBOOK S 14 (UX5406AA-ZB/S1490) 14"" 3 OLED TOUCHSCREEN LAPTOP SCANDINAVIAN WHITE",USD 2.400,STK
"Processor: 2.1 gigahertz Intel Core Ultra 9 386H up to 4.9 gigahertz (16-core), Memory: 32GB LPDDR5X 8533 megahertz RAM, Storage: 1TB PCIe® G4 Solid State Drive, Video Card: Intel Graphics Integrated, Display: 14"" OLED (2880 x 1800) Touch Screen Refresh Rate: 120Hz, Brightness: 1100 nits, Wi-Fi 7 Bluetooth",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,30Kg. - 1080p. Camera with IR Function to Support Windows Hello",,
"ASUS VIVOBOOK (F1504VAP-IH79T) 15.6"" FULL HD NOTEBOOK SILVER [Pad Numérico]",USD 1.150,STK
"Processor: Intel® Core™ 7 Processor 150U 1.8 GHz (12MB Cache, up to 5.4 GHz, 10 cores, 12 Threads), Memory: 16GB DDR4 RAM, Storage: 1TB PCIE G4 SSD, Video Card: Intel® Graphics, Display: Full HD (1920*1080) 16:9 aspect ratio; 60Hz refresh rate; 250nits, Wi-Fi 6(802.11ax) (Dual band) 1*1 + Bluetooth® 5.2",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,90Kg. - Front: 720p HD camera with privacy shutter Sonic Master built-in array microphone and speakers",,
"ASUS VIVOBOOK S 16 FLIP (TP3607SA-IS77T) 16"" FULL HD OLED TOUCHSCREEN GRAY [Pad Numérico]",USD 1.750,STK
"Processor: 2.2 GHz Intel® Core™ Ultra 7 258V (12MB Cache, up to 4.8 GHz, 8 cores, 8 Threads), Memory: 32GB LPDDR5X RAM , Storage: 1TB PCIE G4 Solid State Drive, Video Card:Intel® Arc™ Graphics, Display:`16"" OLED WUXGA (1920x1200) Touch, 16:10, 60Hz refresh rate, Bend+300nits, Wi-Fi 7(802.11be) (Tri-band)2*2 + Bluetooth® 5.4 Wireless Card",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,90Kg. - 1080p Full HD IR camera w/ privacy shutter Built-in array microphone and speaker",,
"ASUS VIVOBOOK S 16 (M3607GA-IS99T) 16"" FULLHD TOUCH PANEL NOTEBOOK SILVER [Pad Numérico]",USD 1.900,STK
"Processor: AMD Ryzen™ AI 9 465 Processor 2.0GHz (10-core), Memory: 32GB DDR5 SO-DIMM, Storage: 1TB PCIe® G4 Solid State Drive, Video Card: AMD Radeon™ Graphics, Display: 16'' WUXGA (1920x1200) 16:10, 400nits, 120Hz refresh rate, Touch panel, Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.4 Wireless Card",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,90Kg. - Full HD camera with IR function to support Windows Hello",,
"ASUS ZENBOOK S16 (UM5606GA-ZB/S1690) 16"" 3K OLED TOUCHSCREN LAPTOP ANTRIM GRAY",USD 2.200,ING
"Processor: 2 gigahertz AMD Ryzen AI 400 Series Ryzen AI 9 465 (10-core), Memory: 32GB LPDDR5X 8533 megahertz RAM, Storage: 1TB PCIe 4.0 SSD, Video Card: AMD Radeon Integrated, Display: 16"" 3K OLED (2880 x 1800) Touchscreen Refresh Rate 120Hz, Brightness: 500 nits, Wi-Fi 7, Bluetooth",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,60Kg. - Full HD camera with IR function to support Windows Hello",,
"ASUS VIVOBOOK V16 (V3607VP-IS79) 16"" WUXGA NOTEBOOK BLACK (Pad Numerico)",USD 2.050,STK
"Processor: 2.5 GHz Intel® Core™ 7 240H (24MB Cache, up to 5.2 GHz, 10 cores, 16 Threads), Memory: 32GB DDR5 5600 MHZ RAM, Storage: 1TB PCIe® G4 Solid State Drive, Display: 16.0; WUXGA (1920X1200) 16:10; 300 nits; Anti-Glare, Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless Card",,
Video Card: NVIDIA® GeForce RTX™ 5070 8GB GDDR7,,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,96Kg. - 1080p FHD camera;With privacy shutter, Built-in microphone",,
"ASUS VIVOBOOK (F1605VAP-ES97) 16"" OLED FULLHD+ NOTEBOOK BLACK [Pad Numérico]",USD 1.700,STK
"Processor: 2.7 GHz Intel® Core™ 9 270H (24MB Cache, up to 5.8 GHz 20 Threads) (14 cores), Memory: 24GB DDR5 RAM, Storage: 1TB PCIE G4 Solid State Drive, Video Card: Intel® Graphics, Display: 16'' OLED WUXGA (1920x1200) 16:10; 60Hz refresh rate, Bend+300 nits, Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.4 Wireless Card",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,96Kg. - 720p HD camera w/ privacy shutter, Built-in microphone and speaker",,
"ASUS VIVOBOOK FLIP (TP3607AA-IS99T) 16"" FULLHD OLED TOUCHSCREEN LAPTOP BLACK [Pad Numérico]",USD 2.200,STK
