ACER,,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,64Kg. - 1080p Privacy camera and Built-In Microphone",,
"HP OMNIBOOK 3 (16-BU0007DX) 16"" 2K TOUCHSCREEN LAPTOP MICA SILVER [Pad Numérico]",USD 1.300,STK
"Processor: 5.2 gigahertz Intel Core Ultra 7 Series 255U (12-core), Memory: 16GB DDR5 5600 megahertz RAM, Storage: 512GB PCIe 4.0 SSD, Video Card: Intel Graphics Integrated, Display: 16"" IPS LED 1920 x 1200 (WUXGA) Anti-glare Brightness: 300 nits, Wi-Fi 7 Bluetooth",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,64Kg. - 1080p Privacy camera and Built-In Microphone",,
"HP OMNIBOOK 5 (16-CD0055CL) 16"" FULLHD+ 2K TOUCHSCREEN LAPTOP GRAY [Pad Numérico]",USD 1.200,STK
"Processor: Intel® Core™ Ultra 5 322 (up to 4.4 GHz with Intel® Turbo Boost Technology, 6 cores), Memory: 16GB DDR5 5600 megahertz RAM, Storage: 1TB PCIe® Gen4 NVMe™ M.2 SSD, Video Card: Integrated Intel® Graphics, Display: 16"" 2K (1920 x 1200) touchscreen IPS micro-edge anti-glare 300 nits, Wi-Fi 7 (2x2) and Bluetooth® 6.0 wireless card",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,64Kg. - 1080p FHD IR camera with HDR auto switch, temporal noise reduction, and privacy shutter",,
"HP OMNIBOOK 7 FLIP (16-AU0773CL) (B88B1UA#ABA) 16"" 3K OLED TOUCHSCREEN LAPTOP 2-IN-1 SILVER",USD 1.750,STK
"Processor: Intel® Evo™ platform powered by Intel® Core™ Ultra 7 258V (8-Core), Up to 4.8 GHz, Intel® AI Boost (47 NPU TOPS), Memory: 32GB LPDDR5x-8533 MT/s, Storage: 1TB PCIe® Gen4 NVMe™ M.2 SSD, V (16GB). Display: 16"" 2K 
 1920 x 1200 (Full HD+) TouchScreen IPS, Brightness: 400 nits, Wi-Fi 6E, Bluetooth",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,85Kg. - 5MP IR camera with temporal noise reduction and privacy shutter",,
"HP OMNIBOOK 5 AI (16-AF1173) 16"" 2K TOUCHSCREEN LAPTOP GLACIER SILVER ALUMINIUM (Pad Numérico)",USD 1.400,STK
"Processor: Intel® Core™ Ultra 7 255U (12 core), Memory: 32GB LPDDR5x-7467 MT/s RAM, Storage: 1TB PCIe® Gen4 NVMe™ M.2 SSD, Video Card: Integrated Intel® Graphics, Display: 16"" diagonal, 2K (1920 x 1200), touch, IPS, micro-edge, anti-glare, 300 nits, Wi-Fi 6 and Bluetooth 5.4",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,78Kg. - HP True Vision 1080p FHD camera with temporal noise reduction and a privacy shutter",,
"HP OMNIBOOK X (16-CB0023DX) 16""2K OLED TOUCHSCREEN LAPTOP ECLIPSE GRAY [Pad Numérico]",USD 1.750,STK
"Processor: 4.7 gigahertz Intel Core Ultra 7 Series 3 355 (8-core), Memory: 16GB LPDDR5x-7467 MT/s RAM, Storage: 1TB PCIe® Gen4 NVMe™ M.2 Solid State Drive, Video Card: Integrated Intel Graphics, Display: 16"" OLED 1920 x 1200 (Full HD+) TouchScreen, Brightness 300 nits, Wi-Fi 6 and Bluetooth 5.4",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 2,10Kg. - Privacy Front-Facing Camera, Built-In Microphone",,
"HP OMNIBOOK X (16-BG0013DX) 16"" 2K OLED TOUCHSCREEN LAPTOP METEOR SILVER (Pad Numérico)",USD 2.500,STK
"Processor: Intel Core Ultra X7 Series 358H, Memory: 32GB LPDDR5X RAM, Storage: 1TB PCIe® NVMe™ M.2 SSD, Video Card: Intel Arc B390 Integrated, Display: 16"" OLED UWVA (2048 x 1280) Touch Screen Refresh Rate: 120Hz, Brightness 400 nits, Wi-Fi, Bluetooth",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 2,10Kg. - Privacy Front-Facing Camera, Built-In Microphone",,
"HP OMNIBOOK X (16-BG0033DX) 16"" 2K OLED TOUCHSCREEN LAPTOP METEOR SILVER (Pad Numérico)",USD 2.900,STK
"Processor: 4.9 gigahertz Intel Core Ultra 9 Series 386H (16-core), Memory: 32GB LPDDR5X 5600 megahertz RAM, Storage: 1TB PCIe® NVMe™ M.2 SSD, Video Card: Intel Arc B390 Integrated, Display: 16"" OLED UWVA (2048 x 1280) Touch Screen Refresh Rate: 120Hz, Brightness 400 nits, Wi-Fi, Bluetooth",,
Video Card: NVIDIA GeForce RTX 5050 8GB GDDR7,,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 2,10Kg. - 5MP IR camera with temporal noise reduction and privacy shutter",,
"HP OMNIBOOK 7 FLIP (16AU-0055CL) 16"" 2K TOUCHSCREEN LAPTOP SILVER [HP USB-C® Rechargeable MPP2.0 Tilt Pen]",USD 1.600,STK
"Processor: Intel® Core™ Ultra 5 226V (up to 4.5 GHz with Intel® Turbo Boost Technology, 8 cores), Memory: 16GB LPDDR5x-8533 MT/s RAM, Storage: 1TB PCIe® Gen4 NVMe™ M.2 Solid State Drive, Display: 16"" 2K (1920 x 1200), multitouch-enabled, IPS, edge-to-edge glass, micro-edge, 400 nits, Wi-Fi 7 (2x2) and Bluetooth® 5.4 wireless card",,
Video Card: Integrated Intel® Arc™ 130V GPU (8GB),,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 2,10Kg. - 5MP IR camera with temporal noise reduction and privacy shutter",,
"HP OMNIBOOK 5 (16-BP0095CL) 16"" 2K TOUCHSCREEN LAPTOP ECLIPSE GRAY [Pad Numérico]",USD 1.800,STK
"Processor: AMD Ryzen™ AI 9 465 (up to 5.0 GHz max boost clock, 10 cores), Memory: 32GB LPDDR5x-8533 MT/s (onboard), Storage: 1TB PCIe® Gen4 NVMe™ M.2 SSD, Display: 16"" 2K (1920 x 1200), OLED, multitouch-enabled, 0.2 ms response time, edge-to-edge glass, micro-edge, Low Blue Light, 300 nits display, Wi-Fi 7 (2x2) and Bluetooth® 6.0 wireless card",,
"Video Card: Integrated AMD Radeon™ 880M Graphics,",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,70kg. - 1080p FHD IR camera with HDR auto switch, temporal noise reduction, and privacy shutter",,
"HP OMNIBOOK 7 (16-bh0095cl) 16"" 2K OLED TOUCHSCREEN NOTEBOOK SILVER [Pad Numérico]",USD 2.500,STK
"Processor: Intel® Evo™ platform powered by Intel® Core™ Ultra 9 386H (up to 4.9 GHz with Intel® Turbo Boost Technology (16 cores), Memory: 32GB LPDDR5x-8533 MT/s RAM, Storage: 1TB PCIe® Gen4 NVMe™ M.2 SSD, Video Card: Integrated Intel® Graphics, Display: 16"" 2K (2048 x 1280), OLED, touchscreen, 120 Hz, 0.2 ms response time, micro-edge, Low Blue Light, SDR 400 nits, Wi-Fi 7 (2x2) and Bluetooth® 6.0 wireless card",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 2,51kg. - HP True Vision 5MP IR Camera with shutter, temporal noise reduction and integrated dual array digital microphones",,
"HP OMNIBOOK 3 (17-DG0107DX) 17.3"" FULL HD LAPTOP MICA SILVER [Pad Numérico]",USD 1.400,STK
"Processor: 5.2 gigahertz Intel Core Ultra 7 Series 255U (12-core), Memory: 16GB DDR5 5600 megahertz RAM, Storage: 512GB PCIe 4.0 SSD, Video Card: Intel Graphics Integrated, Display: 17.3"" 1920 x 1080 (Full HD) LED IPS Anti-glare 
 300 nits, Wi-Fi 7 (2x2) and Bluetooth® 6.0 wireless card",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 2,20kg. - 1080p FHD IR camera with HDR auto switch, temporal noise reduction, and privacy shutter",,
"HP OMNIBOOK 3 (17-DF0575CL) 17.3"" FULL HD TOUCHSCREEN NOTEBOOK BLACK [Pad Numérico]",USD 1.550,STK
"Processor:Intel® Core™ Ultra 7 355 (up to 4.7 GHz with Intel® Turbo Boost Technology, 8 cores), Memory: 16GB DDR5-5600 MT/s RAM, Storage: 1TB PCIe® Gen4 NVMe™ M.2 SSD, Video Card: Integrated Intel® Graphics, Display: 17.3"" diagonal, FHD (1920 x 1080), touchscreen, IPS, micro-edge, anti-glare, 300 nits display, Wi-Fi 6 (2x2) and Bluetooth® 5.4 wireless card",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 2,20kg. - 1080p FHD IR camera with HDR auto switch, temporal noise reduction, and privacy shutter",,
"HP OMNIBOOK X (17-DE0043DX) 17.3"" FULL HD TOUCHSCREEN LAPTOP GLACIER SILVER [Pad Numérico]",USD 2.600,STK
"Processor: 4.9 gigahertz Intel Core Ultra 9 Series 3 386H (16-core), Memory: 32GB LPDDR5X 8533MHz RAM, Hard Drive: 1TB PCIe® NVMe™ M.2 Solid State Drive, Video Card: Intel Graphics, Display: 17.3"" Full HD (1920 x 1080) LED IPS Touchscreen Brightness 400 nits, Wi-Fi 7, Bluetooth",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 2,51kg. - HP True Vision 5MP IR Camera with shutter, temporal noise reduction and integrated dual array digital microphones",,
LENOVO,,
"LENOVO IDEAPAD 5 (83UH004LUS) 14"" FULLHD+ OLED TOUCHSCREEN LAPTOP 2-IN-1 SEASHELL",USD 1.550,STK
"Processor: AMD Ryzen™ AI 7 445 (6C / 12T, 2.0 / 4.6GHz, 6MB L2 / 8MB L3), Memory: 16GB SODIMM DDR5-5600Mhz, RAM, Storage: 1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®, Video Card: Integrated AMD Radeon™ 840M Graphics, Display: 14"" WUXGA (1920 x 1200) IPS 400nits, Low Blue Light, High Gaming Performance, Wi-Fi 7 + Bluetooth 5.4",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,63Kg. - FHD 1080p + IR with Privacy Shutter, Dual-microphone array",,
"LENOVO YOGA 7i Copilot+ PC (83TC0003US) 14"" 2K OLED TOUCHSCREEN LAPTOP 2-IN-1 LUNA GREY",USD 1.300,STK
"Processor: Intel Core™ Ultra 5 322, 6C (2P + 4LPE) / 6T, Max Turbo up to 4.4GHz, 12MB Intel® Smart Cache, Memory: 16GB LPDDR5X-7467Mhz RAM, Storage: 512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®, Video Card: Integrated Intel® Graphics, Display: 14"" WUXGA (1920x1200) OLED 400nits Glossy / Anti-fingerprint, 100% DCI-P3, 100% sRGB, 60Hz, Dolby Vision®, TÜV Low Blue Light, Glass, Touchscreen, Wi-Fi® 7, 802.11be + Bluetooth 5.4",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,38Kg. - 5.0MP + IR with Privacy Shutter",,
"LENOVO YOGA SLIM 9i (83CX0005US) 14"" 4K OLED TOUCHSCREEN LAPTOP TIDAL TEAL",USD 2.300,STK
"Processor: 2.2 gigahertz Intel Core Ultra 7 Series 258V (8-core), Memory: 32Gb LPDDR5X 8533 megahertz RAM, Storage: 1TB Solid Slate Drive (SSD), Video Card: Integrated Intel Arc, Display: 14"" OLED (3840 x 2400) TouchScreen 120Hz, Brightness: 750 nits, Wi-Fi 7, Bluetooth",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,25Kg. - Privacy camera",,
"LENOVO YOGA 9i AURA EDITION (83SE0001US) 14"" 3K OLED TOUCHSCREEN LAPTOP 2-in-1 COSMIC BLUE",USD 2.800,STK
"Processor: 2.3 gigahertz Intel Core Ultra 7 Series 355 4.7 gigahertz (8-core), Memory: 32GB LPDDR5X 6800 megahertz RAM, Storage: 1TB M.2 2242 PCIe 4.0x4 NVMe Solid Slate Drive (SSD), Video Card: Integrated Intel Arc, Display: 14"" 3K (2880 x 1800) OLED Touch Screen Refresh Rate: 120Hz, Brightness: 1100 nits, Wi-Fi® 7, 802.11be 2x2 + BT5.4",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,36Kg. - 5.0MP + IR with Privacy Shutter",,
"LENOVO THINKPAD E14 Gen 5 (21JK0053US) 14"" FULL HD TOUCHSCREEN LAPTOP GRAPHITE BLACK",USD 1.500,STK
"Processor: Intel Core™ i7-1355U, 10C (2P + 8E) / 12T, P-core 1.7 / 5.0GHz, E-core 1.2 / 3.7GHz, Memory: 16GB 3200 MT/s DDR4, Storage: 512GB / M.2 NVMe SSD, Video Card: Integrated Intel® Iris® Xe Graphics, Display: 14"" WUXGA (1920x1200) IPS 300nits Anti-glare, 45% NTSC, Touch, Wi-Fi 6E (802.11ax), Bluetooth 5.3",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,34Kg. - Integrated 1080p Webcam with Privacy Shutter",,
"LENOVO THINKBOOK 14 G8 IAL (21SJ00EWUS) 14"" FULLHD+ TOUCHSCREEN ARCTIC GREY",USD 1.850,STK
"Processor: Intel Core Ultra 7 255H, 16C (6P + 8E + 2LPE) 16T, Max Turbo up, Memory: 32GB SODIMM DDR5-5600 RAM, Storage: 1TB M.2 2242 PCIe 4.0x4 NVMe SSD, Video Card: Integrated Intel Arc 140T GPU, Display: 14"" WUXGA (1920x1200) IPS 300nits Anti-glare, 45% NTSC, 60Hz, Touchscreen, 100/1000M (RJ-45), 
 Intel® Wi-Fi® 6E AX211, 802.11ax 2x2 + BT5.3",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,36Kg. - FHD 1080p with Privacy Shutter",,
"LENOVO THINKPAD T14S GEN6 (21QX000MUS) 14"" WUXGA NOTEBOOK BLACK",USD 1.950,STK
"Processor: Intel Core™ Ultra 7 258V, 8C (4P + 4LPE) / 8T, Max Turbo up to 4.8GHz, 12MB Intel® Smart Cache, Memory: 32GB Soldered LPDDR5X-8533 RAM, Storage: 512GB SSD M.2 2280 PCIe® 4.0x4 NVMe® Opal 2.0, Video Card: Integrated Intel® Arc™ Graphics 140V, Display: 14"" WUXGA (1920x1200) IPS 500nits Anti-glare, 100% sRGB, 60Hz, Low Power, Intel® Wi-Fi® 7 BE201, 802.11be 2x2 + BT5.4",,
"Windows 11 PRO x 64 bits, preinstalado.
 Peso 1,28Kg. - 5.0MP + IR Discrete with Privacy Shutter, Computer Vision on ISP",,
"LENOVO ThinkPad T14S G6 (21R2516300) 14"" FHD+ TOUCHSCREEN LAPTOP BLACK",USD 2.050,STK
"Processor: Intel® Core™ Ultra 7 Processor 255U (2P-core + 8 E-core), Memory: 32GB LPDDR5x 7467MHz RAM, Storage: 1TB NVMe M.2 TLC Gen 4 SSD, Video Card: Integrated Intel® Graphics, Display: 14"" WUXGA (1920 x 1200) IPS Touchscreen, Intel® Wi-Fi® 7 BE201, 802.11be, 2x2 Wi-Fi® Supports Bluetooth 5.4",,
"Windows 11 PRO x 64 bits, preinstalado.
 Peso 1,52Kg. - 5MP Webcam and Privacy Shutter Dual-Microphone array",,
"LENOVO ThinkPad X9 14 AURA (21QA0035US) 14"" 2,8K OLED TOUCHSCREEN 120Hz THUNDER GREY",USD 2.000,STK
"Processor: Intel® Core™ Ultra 7 258V (LPE-cores up to 3.70 GHz P-cores up to 4.80 GHz), Memory: 32GB LPDDR5X-8533MT/s RAM, Storage: 1TB SSD M.2 2242 PCIe Gen4 TLC Opal, Video Card: Integrated Intel® Arc™ 140V GPU, Display: 14"" 2.8K (2880 x 1800), OLED, Anti-Reflection/Anti-Smudge, Touch, HDR 600 True Black, Intel® Wi-Fi 7 BE201 2x2 BE & Bluetooth® 5.4",,
"Windows 11 PRO x 64 bits, preinstalado.
 Peso 1,27Kg. - IR 1080P Webcam Compatible with Windows Hello",,
"LENOVO THINKPAD X1 CARBON G14 AURA EDITION (21V7006GUS) 14"" 2K TOUCHSCREEN",USD 3.000,CONS
"Processor: Intel® Core™ Ultra 7 365 vPro® (LPE-cores up to 3.60 GHz P-cores up to 4.80 GHz), Memory: 32GB LPDDR5x 8533MHz RAM, Storage: 1TB SSD M.2 2280 PCIe Gen4 TLC Opal, Video Card: Integrated Intel® Graphics, Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Touch, 100%sRGB, 500 nits, 60Hz, Low Power, Intel® Wi-Fi 7 BE211 2x2 BE vPro® & Bluetooth® 5.4",,
"Windows 11 PRO x 64 bits, preinstalado.
 Peso 1,10Kg. - 5MP RGB+IR with Computer Vision and Privacy Shutter",,
"LENOVO YOGA SLIM 7i (83QK0011US) 14"" 3K OLED TOUCHSCREEN LAPTOP COSMIC BLUE Aura FIFA 26 Edition",USD 2.700,STK
"Processor: 2.3 gigahertz Intel Core Ultra 7 Series 355 (8-core), Memory: 32GB LPDDR5X 6800 megahertz RAM, Storage: 1TB PCIe® G4 Solid State Drive, Video Card: Intel Graphics Integrated, Display: 14"" OLED (2880 x 1800) Touch Screen Refresh Rate: 120Hz, Brightness: 1100 nits, Wi-Fi 7 Bluetooth",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,25Kg. - 5Mp Front Facing Camera with Dual Microphone and E-Shutter",,
"LENOVO YOGA SLIM 7i ULTRA AURA (83QK0001US) 14"" 3K OLED TOUCHSCREEN LAPTOP SEASHELL",USD 2.800,STK
"Processor:2.3 gigahertz  Intel Core Ultra 7 Series 355 (8-core), Memory: 32GB LPDDR5X 6800 megahertz RAM, Storage: 1TB SSD PCIe, Video Card: Integrated Intel Graphics, Display: 14"" 3K OLED (2880 x 1800) Touch Screen Refresh Rate 120Hz, Brightness: 1100 nits Wi-Fi 7 Bluetooth",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,25Kg. - 1080P FHD IR Hybrid with Dual Microphone and E-Shutter",,
"LENOVO IDEAPAD SLIM 3 15ARP10 (83K700TUUS) 15,3"" FULLHD+ TOUCHSCREEN LAPTOP LUNAR GRAY [Pad Numérico]",USD 1.050,STK
"Processor: AMD Ryzen™ 7 170 (8C / 16T, 3.2 / 4.75GHz, 4MB L2 / 16MB L3), Memory: 16GB SODIMM DDR5-4800 RAM, Storage: 512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®, Video Card: Integrated AMD Radeon™ 680M Graphics, Display: 
 15.3"" WUXGA (1920x1200) IPS 300nits Anti-glare, 45% NTSC, 60Hz, Touch, Wi-Fi® 6, 802.11ax 2x2 + BT5.3",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,60Kg. - HD 720p with Privacy Shutter",,
"LENOVO IDEAPAD 5 (83UM0004US) 15,3"" WUXGA TOUCHSCREEN LAPTOP 2-IN-1 COSMIC BLUE [Pad Numérico] Lenovo Pen Gen 2 Included",USD 2.050,STK
"Processor: AMD Ryzen AI 7 445, Memory: 32GB DDR5-5600 RAM, Storage: 1TB 2242 M.2 QLC SSD, Video Card: Integrated AMD Radeon 840M, Display: 15.3"" (WUXGA) Touch IPS 60Hz 45% NTSC 400 nits, Wi-Fi® 7, 802.11be 2x2 + Bluetooth 5.4",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,60Kg. - 1080P IR with Privacy Shutter",,
"LENOVO IDEAPAD 5i (83UL0004US) 15,3"" FULLHD+ TOUCHSCREEN LAPTOP GRAY [Pad Numérico]",USD 1.600,STK
"Processor: Intel® Core Ultra 7 Processor 355 NPU 50 TOPS, Memory: 16GB SODIMM DDR5-5600 RAM, Storage: 1GB SSD M.2 2242 PCIe® 4.0x4 NVMe®, Video Card: Integrated Intel® DirectX® 12 Ultimate GPU Graphics, Display: 15.3"" (WUXGA) 1920 x 1200 400 nits IPS Anti-Glare 60 Hz Touch, Wi-Fi 7 + Bluetooth 5.4, PEN",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,60Kg. - FHD 1080p + IR with Privacy Shutter, ToF Sensor",,
"LENOVO YOGA PRO 7i (83SN0003US) 15.3"" 3K OLED TOUCHSCREEN LAPTOP LUNA GREY",USD 3.500,STK
"Processor: 2.1 gigahertz Intel Core Ultra 9 Series 386H (16-core), Memory: 16GB LPDDR5X 8533 megahertz RAM, Storage: 1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®, 15.3"" OLED (2560 x 1600) Touch Screen Refresh Rate 165Hz, Brightness: 1100 nits, Wi-Fi 7 + Bluetooth 5.4, PEN",,
Video Card: NVIDIA GeForce RTX 5060 8GB GDDR7,,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,80Kg. - 5 megapixels + IR with Privacy Shutter, ToF Sensor",,
"LENOVO IDEAPAD SLIM 3 15IRU8 (82X700KEUS) 15.6"" FHD NOTEBOOK ARCTIC GREY",USD 1.020,STK
"Processor: Intel Core™ i5-1335U, 10C (2P + 8E) / 12T, P-core up to 4.6GHz, E-core up to 3.4GHz, Memory: 16GB LPDDR5 4800 RAM, Storage: 256GB SSD M.2 2242 PCIe® 4.0x4 NVMe®, Video Card: Integrated Intel® Iris® Xe, Display: 15.6"" FHD (1920x1080) TN 250nits Anti-glare Graphics, Wi-Fi® 6, 802.11ax 2x2 + BT5.2,",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,62Kg. - HD 720p with Privacy Shutter",,
"LENOVO YOGA 7A (83TF0000US) 16"" 2K LCD TOUCHSCREEN LAPTOP SEASHELL [Pad Numérico]",USD 1.250,CONS
"Processor: 2 gigahertz AMD Ryzen AI 400 Series AI 5 430 up to 4.5 gigahertz (4-core), Memory: 16GB LPDDR5X 
 8000 megahertz RAM, Storage: 512GB PCIe 4.0 SSD, Video Card: AMD Radeon 840M Integrated, Display: 16"" LCD IPS 
 1920 x 1200 (WUXGA), Brightness: 400 nits, Refresh Rate: 60Hz, Wi-Fi 7, Bluetooth",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,62Kg. - 5.0MP + IR with Privacy Shutter",,
"LENOVO IDEAPAD SLIM 5i (83S60042US) 16"" FULLHD+ TOUCHSCREEN LAPTOP COSMIC BLUE [Pad Numérico]",USD 1.250,STK
"Processor: Intel® Core Ultra 5 Processor 322 NPU 46 TOPS, Memory: 16GB SODIMM DDR5-5600 RAM, Storage: 512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®, Video Card: Integrated Intel® Graphics, Display: 16.0"" (WUXGA) 1920 x 1200 400 nits IPS Anti-Glare 120 Hz Touch, Wi-Fi 7 + Bluetooth 5.4",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,60Kg. - FHD 1080p + IR with Privacy Shutter, ToF Sensor",,
"LENOVO IDEAPAD SLIM 5 16IPH11 (83S6000BUS) 16"" FULLHD+ TOUCHSCREEN LAPTOP COSMIC BLUE [Pad Numérico]",USD 1.500,STK
"Processor: Intel Core™ Ultra 7 355, 8C (4P + 4LPE) / 8T, Max Turbo up to 4.7GHz, 12MB Intel® Smart Cache, Memory: 16GB SODIMM DDR5-5600Mhz RAM, Storage: 1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®, Video Card: Integrated Intel® Graphics, Display: 16"" WUXGA (1920x1200) IPS 400nits Anti-glare, 100% sRGB, 120Hz, Touch, Wi-Fi® 7, 802.11be 2x2 + BT5.4",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,85Kg. - FHD 1080p + IR with Privacy Shutter, ToF Sensor",,
"LENOVO YOGA 7 16ILL10 (83JT0047US) 16"" 2K TOUCHSCREEN LAPTOP 2-IN-1 LUNA GRAY [Pad Numérico]",USD 1.350,STK
"Processor: 2.1 gigahertz Intel Core Ultra 5 Series 2 226V up to 4.5 gigahertz (8-core), Memory: 16GB SODIMM DDR5-8533Mhz RAM, Storage: 512GB PCIe 4.0 SSD, Graphics, Display: 16"" 2K WUXGA (1920x1200) IPS Touchscreen 2-IN-1 Brightness: 300 nits, Refresh Rate, 60Hz, Wi-Fi 7 Bluetooth",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,92Kg. - 1080p Front-Facing Camera, Built-In Microphone",,
"LENOVO YOGA 7i (83TE001PUS) 16"" 2K OLED TOUCHSCREEN LAPTOP 2-IN-1 LUNA GREY [Pad Numérico]",USD 1.700,STK
"Processor: Intel Core Ultra 7 355, 8C (4P + 4LPE) / 8T, Max Turbo up to 4.7GHz, 12MB Intel Smart Cache, Memory: 24GB LPDDR5X-7467 megahertz RAM, Storage: 512GB M.2 2242 PCIe 4.0x4 NVMe SSD, Video Card: Integrated Intel Graphics, Display: 16"" WUXGA (1920x1200) OLED 300nits Glossy / Anti-fingerprint, 100% DCI-P3, 100% sRGB, 60Hz, Dolby Vision®, TÜV Low Blue Light, Glass, Touch, Wi-Fi® 7, 802.11be 2x2 + BT5.4",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,74Kg. - 5.0MP + IR with Privacy Shutter",,
"LENOVO THINKPAD E16 G2 (21MAA010US) 16"" FULLHD+ NOTEBOOK ECLIPSE BLACK [Pad Numérico]",USD 1.800,STK
"Processor: 1.7GHz Intel Core Ultra 7 155U, Memory: 32GB DDR5-5600MHz RAM, Storage: 1TB SSD, Video Card: Intel Graphics Integrated Graphics, Display: 16"" WUXGA (1920x1200) IPS Anti-Glare, Gigabit LAN 10/100/1000 Network, WiFi 6 (802.11ax), Bluetooth 5.2",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,81Kg. - 1080P IR with Privacy Shutter",,
"LENOVO THINKPAD E16 G3 (21SR007EUS) 16"" FULLHD+ NOTEBOOK ECLIPSE BLACK [Pad Numérico]",USD 2.000,STK
"Processor: 1.5GHz Intel Core Ultra 7 255H Up to 5.1GHz (16-core), Memory: 32GB DDR5-5600MHz RAM, Storage: 1TB SSD, Video Card: Intel Arc 140T Graphics, Display: 16"" WUXGA (1920x1200) IPS Matte Anti-Glare Refresh Rate
 60Hz Brightness 300 nits, Gigabit LAN 10/100/1000 Network, WiFi 6 (802.11ax), Bluetooth 5.3",,
"Windows 11 PRO x 64 bits, preinstalado.
 Peso 1,63Kg. - 1080P IR with Privacy Shutter",,
"LENOVO THINKPAD T16 G4 (21QFS1JG00) 16"" FHD+ TOUCHSCREEN LAPTOP BLACK (Pad Numerico)",USD 2.200,STK
"Processor: Intel® Core™ Ultra 7 Processor 255U (2P-core + 8 E-core) Up to 4.2GHz, Memory: 32GB LPDDR5x 5600MHz, Storage: 1TB NVMe M.2 Gen 4 SSD, Vodep Card: Integrated Intel® Graphics, Display: 16"" WUXGA (1920 x 1200) IPS Touchscreen, 400 Nits of Brightness, Intel® Wi-Fi® 6E AX211, 802.11ax 2x2 Wi-Fi® Bluetooth 5.3",,
"Windows 11 PRO x 64 bits, preinstalado.
 Peso 1,75Kg. - 5MP RGB with Microphone and Privacy Shutter",,
"LENOVO THINKBOOK 16 (21SKA0L3US) 16"" FULLHD+ TOUCHSCREEN ARCTIC GREY",USD 2.400,STK
"Processor: 2.3GHz Intel® Core™ Ultra 9 185H P-core / E-core 1.8GHz / LP E-core 1.0GHz, Memory: 32GB DDR5 5600 MHz SODIMM RAM, Storage: 1TB 2280 G4 TLC SSD, Video Card: Integrated Intel® Arc Graphics, Display: 16"" WUXGA (1920 x 1200) IPS Anti-glare, Intel® Wi-Fi® 6E AX211, 802.11ax 2x2 Wi-Fi® + Bluetooth® 5.3, M.2 card",,
"Windows 11 PRO x 64 bits, preinstalado.
 Peso 1,75Kg. - FHD 1080p with Privacy Shutter, Dual-microphone array",,
"LENOVO PRO 9i AURA (83U90005US) 16"" 3.2K OLED TOUCHSCREEN LAPTOP THUNDER GREY [Pad Numérico]",USD 3.500,STK
